feature,label,design_axis,placement,point_index,x,y,baseline,x_5pct,x_95pct,training_support_n,unique_values
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,5,0.96759259,1.8624507,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,6,1.1111111,1.8664041,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,7,1.2546296,1.8685259,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,8,1.3981481,1.8685259,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,9,1.5416667,1.8685259,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,10,1.6851852,1.8685022,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,11,1.8287037,1.8685022,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,12,1.9722222,1.8685022,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,13,2.1157407,1.8685022,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,14,2.2592593,1.8685022,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,15,2.4027778,1.8687475,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,16,2.5462963,1.8687475,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,17,2.6898148,1.8687475,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,18,2.8333333,1.8687475,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,19,2.9768519,1.8687346,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,20,3.1203704,1.8687346,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,21,3.2638889,1.8687346,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,22,3.4074074,1.868769,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,23,3.5509259,1.868769,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,24,3.6944444,1.8677757,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,25,3.837963,1.8706873,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,26,3.9814815,1.8705859,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,27,4.125,1.8705859,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,28,4.2685185,1.8705859,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,29,4.412037,1.8705859,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,30,4.5555556,1.8705859,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,31,4.6990741,1.8705859,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,32,4.8425926,1.8705859,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,33,4.9861111,1.8705859,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,34,5.1296296,1.8705859,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,35,5.2731481,1.8705859,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,36,5.4166667,1.8698314,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,37,5.5601852,1.8698314,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,38,5.7037037,1.8698314,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,39,5.8472222,1.8698314,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,40,5.9907407,1.8698314,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,41,6.1342593,1.8698314,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,42,6.2777778,1.8698314,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,43,6.4212963,1.8698314,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,44,6.5648148,1.8698314,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,45,6.7083333,1.8698314,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,46,6.8518519,1.8698314,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,47,6.9953704,1.8698314,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,48,7.1388889,1.8706817,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,49,7.2824074,1.8706817,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,50,7.4259259,1.8706817,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,51,7.5694444,1.8706817,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,52,7.712963,1.8706817,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,53,7.8564815,1.8706817,1.8687346,0.25,8,1884,189
